origin,id,host_class,host_order,host_family,host_genus,host_species,virus_genus,virus_subgenus
Anthony,14266023065368592876,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus,
Anthony,14673595205424920826,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus,
Anthony,5168730317697384251,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus,
Anthony,8318533518118310708,Mammalia,Chiroptera,Pteropodidae,Rousettus,Rousettus aegyptiacus,Alphacoronavirus,
Anthony,10463630878856455019,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros vittatus,Alphacoronavirus,
Anthony,758557043339772444,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus fuliginosus,Alphacoronavirus,
Anthony,8419617972155160599,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus fuliginosus,Alphacoronavirus,
Anthony,13418499755793479734,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus fuliginosus,Alphacoronavirus,
Anthony,16675367841043294076,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus fuliginosus,Alphacoronavirus,
Anthony,5657880278584449294,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus,Colacovirus
Anthony,12184858232037356435,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Alphacoronavirus,Colacovirus
Anthony,7212903769085550691,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,10545917284451522249,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,6687220645984737048,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,12815956996297741574,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,4774133717766866629,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,15076626201408423513,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,2735182307915386367,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,8515238339683694183,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,12596279810304147533,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,9955103310665433272,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,16259846825008118575,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,1845598534812706553,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,906932406671319421,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,14261046944284061806,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,17124030907272017954,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus,Duvinacovirus
Anthony,5365671738691948706,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,Alphacoronavirus,Duvinacovirus
Anthony,1839272584959230376,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,1029103170913830818,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,15334167674595864371,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,1944882799878911945,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,12249433502582422088,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,3317868102733625375,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,12147076786540974006,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,15200503406964243187,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,13677117612399417431,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,3659465368852902354,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,4779449536765460665,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,8495785630327044959,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,3321473021990930381,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,14803888785011814152,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,11102458038907524921,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,13963246622174280600,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,11992520790791465790,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,11629571441770160696,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,7150159806908078854,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,13218057778909150420,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,18060722893387763824,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,4233237231717872952,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,6272969538163568056,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,13332509118762805290,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,9679065703920920402,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,5656060455252985256,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,6068424848400126628,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros abae,Alphacoronavirus,Duvinacovirus
Anthony,11869653832339135748,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros ruber,Alphacoronavirus,Duvinacovirus
Anthony,11389074064004226295,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus magnater,Alphacoronavirus,Minunacovirus
Anthony,2158454214021117437,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus magnater,Alphacoronavirus,Minunacovirus
Anthony,9757489624581526868,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,Minunacovirus
Anthony,7465865741878739721,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,Minunacovirus
Anthony,9904585542477787887,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus schreibersii,Alphacoronavirus,Minunacovirus
Anthony,7328382681259006827,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus fuliginosus,Alphacoronavirus,Minunacovirus
Anthony,10879877476032996102,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis ricketti,Alphacoronavirus,
Anthony,7494110013840459458,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis ricketti,Alphacoronavirus,
Anthony,10998677572760431040,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus plancyi,Alphacoronavirus,
Anthony,13654522163067075274,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus plancyi,Alphacoronavirus,
Anthony,17339898977204184321,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,5953251561344736136,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,16342888190204016762,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,13444090654616917586,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,15227911024909052084,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,12535322575265238225,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus coromandra,Alphacoronavirus,Pedacovirus
Anthony,6241523614344025337,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,9930567937252544153,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,1421045931672211660,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,16198235917232475123,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,1851515059403888844,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,17131136254970585812,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,5520516119860622858,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,16549768094958606314,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,12549526786870694994,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
Anthony,57879585536388362,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Alphacoronavirus,Pedacovirus
