id,kingdom,phylum,class,order,family,genus
16431887295229433912,Riboviria,Negarnaviricota,Chunqiuviricetes,Muvirales,Qinviridae,Yingvirus
10986223957092199917,Riboviria,Negarnaviricota,Milneviricetes,Serpentovirales,Aspiviridae,Ophiovirus
12242979457688466740,Riboviria,Negarnaviricota,Monjiviricetes,Jingchuvirales,Chuviridae,Mivirus
5105989191405948457,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Artoviridae,Peropuvirus
17876960706294944686,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Bornaviridae,Carbovirus
4736919816011835948,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Bornaviridae,Cultervirus
3082548313046615553,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Bornaviridae,Orthobornavirus
7798454845784221149,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Cuevavirus
16838017352805328464,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Ebolavirus
11983839311494457873,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Marburgvirus
15309942193435525004,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Striavirus
41172842870245374,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Filoviridae,Thamnovirus
67958657791029117,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Lispiviridae,Arlivirus
187101247002099504,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Mymonaviridae,Sclerotimonavirus
13685027387472743986,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Berhavirus
5838912745945718308,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Crustavirus
16912545198946224578,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Nyavirus
14303759166777669162,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Orinovirus
4515219183435876956,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Socyvirus
7285178367980690458,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Nyamiviridae,Tapwovirus
16450065633258867310,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Metaavulavirus
7768015065805366799,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthoavulavirus
11913401453996499450,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Paraavulavirus
14021248853267051228,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Synodonvirus
9702721711421345349,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Aquaparamyxovirus
15406756804124443288,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Ferlavirus
2504386004813385893,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Henipavirus
757259763158002992,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Jeilongvirus
12388638486992324274,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus
2328353104115917455,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Narmovirus
13830669263945655641,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus
3138574935693826739,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Salemvirus
10172915816436234838,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthorubulavirus
12479427947466276315,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Pararubulavirus
17836479755945446304,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,
4813843340694442559,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Metapneumovirus
7795510779458315177,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus
12215158383790949016,Riboviria,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Almendravirus
